step,theta_1,theta_2,dot_theta_1,dot_theta_2
0,-0.0013435330474749207,0.0016916116001084447,-0.13364659249782562,0.16851142048835754
1,-0.004922733176499605,0.0061821951530873775,-0.26747870445251465,0.33757734298706055
2,-0.010732263326644897,0.013493156060576439,-0.40133386850357056,0.5067015886306763
3,-0.018766187131404877,0.02360018715262413,-0.5350745320320129,0.675398588180542
4,-0.029025912284851074,0.03652290999889374,-0.6685776710510254,0.8432894349098206
5,-0.04151352867484093,0.05223327875137329,-0.8016749620437622,1.0098298788070679
6,-0.05620945617556572,0.07069233804941177,-0.9341281056404114,1.1741509437561035
7,-0.07310235500335693,0.09186434745788574,-1.0655279159545898,1.3348731994628906
8,-0.09217330813407898,0.11565660685300827,-1.1954463720321655,1.4905200004577637
9,-0.1133977398276329,0.14197225868701935,-1.3232309818267822,1.638868808746338
10,-0.13672591745853424,0.1706659197807312,-1.448169469833374,1.7775613069534302
11,-0.16210265457630157,0.2015509307384491,-1.5695005655288696,1.9039984941482544
12,-0.1894596368074417,0.23439627885818481,-1.6864405870437622,2.015476942062378
13,-0.2187156230211258,0.26892638206481934,-1.7982330322265625,2.109342098236084
14,-0.2497774362564087,0.3048233985900879,-1.9041979312896729,2.18314266204834
15,-0.2825416922569275,0.3417319655418396,-2.0037708282470703,2.2347660064697266
16,-0.3168970048427582,0.3792657256126404,-2.096524953842163,2.2625346183776855
17,-0.35272637009620667,0.4170149862766266,-2.18217396736145,2.265256643295288
18,-0.38990944623947144,0.45455485582351685,-2.260556221008301,2.2422266006469727
19,-0.42832431197166443,0.4914529025554657,-2.3316047191619873,2.1931779384613037
20,-0.46784868836402893,0.5272758603096008,-2.3953046798706055,2.118199586868286
21,-0.5083602666854858,0.5615943670272827,-2.4516499042510986,2.0176360607147217
22,-0.5497363805770874,0.5939865112304688,-2.5005970001220703,1.8919817209243774
23,-0.5918529033660889,0.6240391731262207,-2.542027235031128,1.7417914867401123
24,-0.6345826387405396,0.6513485312461853,-2.575716257095337,1.567609429359436
25,-0.6777933239936829,0.6755193471908569,-2.601313829421997,1.3699216842651367
26,-0.7213454842567444,0.6961637139320374,-2.6183362007141113,1.1491310596466064
27,-0.7650901675224304,0.7128994464874268,-2.6261658668518066,0.905547022819519
28,-0.8088666796684265,0.7253486514091492,-2.6240642070770264,0.6393895149230957
29,-0.8525005578994751,0.7331349849700928,-2.6111788749694824,0.3507583737373352
30,-0.8958030939102173,0.7358855605125427,-2.586615800857544,0.039769381284713745
31,-0.9385699033737183,0.733227550983429,-2.549435615539551,-0.29354220628738403
32,-0.9805809259414673,0.7247885465621948,-2.498720169067383,-0.6491522789001465
33,-1.021601676940918,0.7101964950561523,-2.433638334274292,-1.0270037651062012
